times,gradient-0.05_cross,gradient-0.1_cross,gradient-0.2_cross,gradient-0.5_cross,gradient-0.8_cross,adam-le-4_cross,adag-0.2_cross,,times,gradient-0.05_accuracy,gradient-0.1_accuracy,gradient-0.2_accuracy,gradient-0.5_accuracy,gradient-0.8_accuracy,adam-le-4_accuracy,adag-0.2_accuracy
times_6300,0.118083,0.0398826,0.0159255,0.00443474,0.00290469,0.025287,0.448745,,times_6300,0.866667,0.833333,0.918519,0.92963,0.892593,0.833333,0.844444
times_6350,0.116807,0.0394292,0.0157499,0.00439022,0.0028747,0.0244325,0.448704,,times_6350,0.866667,0.833333,0.918519,0.92963,0.892593,0.833333,0.844444
times_6400,0.115553,0.0389848,0.0155778,0.00434653,0.00284527,0.0236091,0.448663,,times_6400,0.866667,0.833333,0.918519,0.92963,0.892593,0.837037,0.844444
times_6450,0.11432,0.038549,0.0154091,0.00430365,0.0028164,0.0228155,0.448624,,times_6450,0.866667,0.833333,0.918519,0.92963,0.892593,0.837037,0.844444
times_6500,0.113108,0.0381218,0.0152438,0.00426156,0.00278806,0.0220507,0.448585,,times_6500,0.866667,0.833333,0.918519,0.92963,0.892593,0.837037,0.844444
times_6550,0.111915,0.0377028,0.0150817,0.00422023,0.00276025,0.0213134,0.448547,,times_6550,0.866667,0.833333,0.918519,0.92963,0.892593,0.837037,0.844444
times_6600,0.110742,0.0372918,0.0149227,0.00417963,0.00273294,0.0206025,0.448509,,times_6600,0.866667,0.833333,0.922222,0.92963,0.892593,0.837037,0.844444
times_6650,0.109588,0.0368887,0.0147668,0.00413977,0.00270613,0.0199171,0.448472,,times_6650,0.866667,0.833333,0.922222,0.92963,0.892593,0.837037,0.848148
times_6700,0.108453,0.0364931,0.0146138,0.00410061,0.00267981,0.0192561,0.448436,,times_6700,0.866667,0.833333,0.922222,0.92963,0.892593,0.837037,0.848148
times_6750,0.107336,0.036105,0.0144637,0.00406214,0.00265395,0.0186186,0.4484,,times_6750,0.866667,0.833333,0.922222,0.92963,0.892593,0.837037,0.848148
times_6800,0.106236,0.0357241,0.0143165,0.00402434,0.00262856,0.0180037,0.448365,,times_6800,0.862963,0.833333,0.922222,0.92963,0.892593,0.840741,0.848148
times_6850,0.105155,0.0353502,0.0141719,0.0039872,0.0026036,0.0174105,0.448331,,times_6850,0.862963,0.833333,0.922222,0.92963,0.892593,0.840741,0.848148
times_6900,0.10409,0.0349831,0.01403,0.00395069,0.00257909,0.0168383,0.448297,,times_6900,0.862963,0.833333,0.922222,0.92963,0.892593,0.840741,0.848148
times_6950,0.103042,0.0346227,0.0138908,0.00391481,0.002555,0.0162861,0.448264,,times_6950,0.862963,0.833333,0.922222,0.92963,0.892593,0.840741,0.848148
times_7000,0.102011,0.0342689,0.013754,0.00387952,0.00253133,0.0157534,0.448231,,times_7000,0.862963,0.833333,0.922222,0.92963,0.892593,0.840741,0.848148
times_7050,0.100995,0.0339214,0.0136197,0.00384483,0.00250806,0.0152393,0.448199,,times_7050,0.862963,0.833333,0.922222,0.92963,0.892593,0.840741,0.848148
times_7100,0.0999954,0.03358,0.0134878,0.00381072,0.00248518,0.0147432,0.448167,,times_7100,0.862963,0.833333,0.922222,0.92963,0.892593,0.840741,0.848148
times_7150,0.099011,0.0332447,0.0133582,0.00377717,0.00246269,0.0142644,0.448136,,times_7150,0.862963,0.833333,0.922222,0.92963,0.892593,0.840741,0.848148
times_7200,0.0980416,0.0329152,0.0132309,0.00374417,0.00244057,0.0138022,0.448106,,times_7200,0.862963,0.833333,0.922222,0.92963,0.892593,0.840741,0.848148
times_7250,0.097087,0.0325915,0.0131058,0.00371171,0.00241882,0.0133561,0.448075,,times_7250,0.862963,0.833333,0.922222,0.92963,0.892593,0.840741,0.848148
times_7300,0.0961467,0.0322734,0.0129829,0.00367978,0.00239742,0.0129256,0.448046,,times_7300,0.862963,0.833333,0.922222,0.92963,0.892593,0.840741,0.848148
times_7350,0.0952205,0.0319608,0.0128621,0.00364836,0.00237638,0.0125099,0.448017,,times_7350,0.862963,0.833333,0.922222,0.92963,0.892593,0.844444,0.848148
times_7400,0.0943082,0.0316534,0.0127433,0.00361744,0.00235567,0.0121087,0.447988,,times_7400,0.862963,0.833333,0.922222,0.92963,0.892593,0.848148,0.848148
times_7450,0.0934094,0.0313513,0.0126266,0.003587,0.0023353,0.0117212,0.44796,,times_7450,0.862963,0.833333,0.922222,0.92963,0.892593,0.851852,0.851852
times_7500,0.0925239,0.0310543,0.0125118,0.00355705,0.00231525,0.0113472,0.447932,,times_7500,0.862963,0.833333,0.922222,0.92963,0.892593,0.855556,0.851852
times_7550,0.0916513,0.0307622,0.0123989,0.00352756,0.00229553,0.0109861,0.447905,,times_7550,0.862963,0.833333,0.922222,0.92963,0.892593,0.855556,0.851852
times_7600,0.0907915,0.030475,0.0122879,0.00349852,0.00227611,0.0106373,0.447878,,times_7600,0.862963,0.833333,0.922222,0.92963,0.892593,0.855556,0.851852
times_7650,0.0899442,0.0301925,0.0121787,0.00346994,0.00225699,0.0103005,0.447852,,times_7650,0.862963,0.833333,0.925926,0.92963,0.892593,0.855556,0.851852
